Date Time,Water Level,Sigma,O,F,R,L,Quality
4/22/16 08:48,-1,2.00E-03,0,0,0,0,v
4/22/16 08:54,-0.98,3.00E-03,0,0,0,0,v
4/22/16 09:00,-0.94,5.00E-03,0,0,0,0,v
4/22/16 09:06,-0.89,7.00E-03,0,0,0,0,v
4/22/16 09:12,-0.83,8.00E-03,0,0,0,0,v
4/22/16 09:18,-0.76,8.00E-03,0,0,0,0,v
4/22/16 09:24,-0.7,8.00E-03,0,0,0,0,v
4/22/16 09:30,-0.64,8.00E-03,0,0,0,0,v
4/22/16 09:36,-0.58,8.00E-03,0,0,0,0,v
4/22/16 09:42,-0.52,7.00E-03,0,0,0,0,v
4/22/16 09:48,-0.46,8.00E-03,0,0,0,0,v
4/22/16 09:54,-0.4,7.00E-03,0,0,0,0,v
4/22/16 10:00,-0.34,7.00E-03,0,0,0,0,v
4/22/16 10:06,-0.29,7.00E-03,0,0,0,0,v
4/22/16 10:12,-0.24,6.00E-03,0,0,0,0,v
4/22/16 10:18,-0.19,6.00E-03,0,0,0,0,v
4/22/16 10:24,-0.14,6.00E-03,0,0,0,0,v
4/22/16 10:30,-0.1,6.00E-03,0,0,0,0,v
4/22/16 10:36,-0.05,5.00E-03,0,0,0,0,v
4/22/16 10:42,-0.01,6.00E-03,0,0,0,0,v
4/22/16 10:48,0.02,5.00E-03,0,0,0,0,v
4/22/16 10:54,0.06,5.00E-03,0,0,0,0,v
4/22/16 11:00,0.1,5.00E-03,0,0,0,0,v
4/22/16 11:06,0.14,8.00E-03,0,0,0,0,v
4/22/16 11:12,0.18,6.00E-03,0,0,0,0,v
4/22/16 11:18,0.22,5.00E-03,0,0,0,0,v
4/22/16 11:24,0.26,5.00E-03,0,0,0,0,v
4/22/16 11:30,0.3,5.00E-03,0,0,0,0,v
4/22/16 11:36,0.34,5.00E-03,0,0,0,0,v
4/22/16 11:42,0.38,5.00E-03,0,0,0,0,v
4/22/16 11:48,0.42,4.00E-03,0,0,0,0,v
4/22/16 11:54,0.45,5.00E-03,0,0,0,0,v
4/22/16 12:00,0.48,4.00E-03,0,0,0,0,v
4/22/16 12:06,0.51,4.00E-03,0,0,0,0,v
4/22/16 12:12,0.54,4.00E-03,0,0,0,0,v
4/22/16 12:18,0.57,5.00E-03,0,0,0,0,v
4/22/16 12:24,0.6,4.00E-03,0,0,0,0,v
4/22/16 12:30,0.63,3.00E-03,0,0,0,0,v
4/22/16 12:36,0.65,3.00E-03,0,0,0,0,v
4/22/16 12:42,0.67,3.00E-03,0,0,0,0,v
